"TIME","GEO","CURRENCY","POST","FLOW","PARTNER","Value","Flag and Footnotes"
"1975","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1976","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1977","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1978","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1979","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1980","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1981","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1982","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1983","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1984","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1985","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1986","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1987","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1988","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1989","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1990","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1991","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1992","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1993","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1994","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1995","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","11 758",""
"1996","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","10 897",""
"1997","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","12 202",""
"1998","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","11 829",""
"1999","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","12 129",""
"2000","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","10 165",""
"2001","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","8 816",""
"2002","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","12 017",""
"2003","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","9 443",""
"2004","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","9 267",""
"2005","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","5 992",""
"2006","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","5 931",""
"2007","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","6 355",""
"2008","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-4 555",""
"2009","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-4 803",""
"2010","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","6 804",""
"2011","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-4 219",""
"2012","Belgium","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-5 204",""
"1975","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1976","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1977","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1978","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1979","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1980","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1981","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1982","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1983","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1984","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1985","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1986","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1987","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1988","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1989","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1990","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1991","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","50",""
"1992","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-245",""
"1993","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-938",""
"1994","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-47",""
"1995","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-22",""
"1996","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","13",""
"1997","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","485",""
"1998","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-29",""
"1999","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-586",""
"2000","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-757",""
"2001","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-859",""
"2002","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-402",""
"2003","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-975",""
"2004","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-1 310",""
"2005","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-2 705",""
"2006","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-4 647",""
"2007","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-7 756",""
"2008","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-8 182",""
"2009","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-3 116",""
"2010","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-534",""
"2011","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","40",""
"2012","Bulgaria","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-527",""
"1975","Czech Republic","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1976","Czech Republic","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1977","Czech Republic","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1978","Czech Republic","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1979","Czech Republic","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1980","Czech Republic","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1981","Czech Republic","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1982","Czech Republic","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1983","Czech Republic","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1984","Czech Republic","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1985","Czech Republic","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1986","Czech Republic","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1987","Czech Republic","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1988","Czech Republic","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1989","Czech Republic","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1990","Czech Republic","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1991","Czech Republic","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1992","Czech Republic","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1993","Czech Republic","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","376",""
"1994","Czech Republic","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-652",""
"1995","Czech Republic","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-1 047",""
"1996","Czech Republic","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-3 255",""
"1997","Czech Republic","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-3 177",""
"1998","Czech Republic","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-1 139",""
"1999","Czech Republic","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-1 378",""
