"TIME","GEO","UNIT","INDIC_NA","Value","Flag and Footnotes"
"1975","Belgium","Euro per inhabitant","Gross domestic product at market prices",":",""
"1976","Belgium","Euro per inhabitant","Gross domestic product at market prices",":",""
"1977","Belgium","Euro per inhabitant","Gross domestic product at market prices",":",""
"1978","Belgium","Euro per inhabitant","Gross domestic product at market prices",":",""
"1979","Belgium","Euro per inhabitant","Gross domestic product at market prices",":",""
"1980","Belgium","Euro per inhabitant","Gross domestic product at market prices","8 900",""
"1981","Belgium","Euro per inhabitant","Gross domestic product at market prices","9 200",""
"1982","Belgium","Euro per inhabitant","Gross domestic product at market prices","9 200",""
"1983","Belgium","Euro per inhabitant","Gross domestic product at market prices","9 600",""
"1984","Belgium","Euro per inhabitant","Gross domestic product at market prices","10 300",""
"1985","Belgium","Euro per inhabitant","Gross domestic product at market prices","11 100",""
"1986","Belgium","Euro per inhabitant","Gross domestic product at market prices","11 900",""
"1987","Belgium","Euro per inhabitant","Gross domestic product at market prices","12 600",""
"1988","Belgium","Euro per inhabitant","Gross domestic product at market prices","13 300",""
"1989","Belgium","Euro per inhabitant","Gross domestic product at market prices","14 400",""
"1990","Belgium","Euro per inhabitant","Gross domestic product at market prices","15 600",""
"1991","Belgium","Euro per inhabitant","Gross domestic product at market prices","16 300",""
"1992","Belgium","Euro per inhabitant","Gross domestic product at market prices","17 300",""
"1993","Belgium","Euro per inhabitant","Gross domestic product at market prices","18 300",""
"1994","Belgium","Euro per inhabitant","Gross domestic product at market prices","19 600",""
"1995","Belgium","Euro per inhabitant","Gross domestic product at market prices","21 500","b"
"1996","Belgium","Euro per inhabitant","Gross domestic product at market prices","21 400",""
"1997","Belgium","Euro per inhabitant","Gross domestic product at market prices","21 700",""
"1998","Belgium","Euro per inhabitant","Gross domestic product at market prices","22 400",""
"1999","Belgium","Euro per inhabitant","Gross domestic product at market prices","23 400",""
"2000","Belgium","Euro per inhabitant","Gross domestic product at market prices","24 600",""
"2001","Belgium","Euro per inhabitant","Gross domestic product at market prices","25 300",""
"2002","Belgium","Euro per inhabitant","Gross domestic product at market prices","26 000",""
"2003","Belgium","Euro per inhabitant","Gross domestic product at market prices","26 600",""
"2004","Belgium","Euro per inhabitant","Gross domestic product at market prices","28 000",""
"2005","Belgium","Euro per inhabitant","Gross domestic product at market prices","29 000",""
"2006","Belgium","Euro per inhabitant","Gross domestic product at market prices","30 200",""
"2007","Belgium","Euro per inhabitant","Gross domestic product at market prices","31 600",""
"2008","Belgium","Euro per inhabitant","Gross domestic product at market prices","32 299",""
"2009","Belgium","Euro per inhabitant","Gross domestic product at market prices","31 600",""
"2010","Belgium","Euro per inhabitant","Gross domestic product at market prices","32 700",""
"2011","Belgium","Euro per inhabitant","Gross domestic product at market prices","33 700",""
"2012","Belgium","Euro per inhabitant","Gross domestic product at market prices","34 000",""
"1975","Bulgaria","Euro per inhabitant","Gross domestic product at market prices",":",""
"1976","Bulgaria","Euro per inhabitant","Gross domestic product at market prices",":",""
"1977","Bulgaria","Euro per inhabitant","Gross domestic product at market prices",":",""
"1978","Bulgaria","Euro per inhabitant","Gross domestic product at market prices",":",""
"1979","Bulgaria","Euro per inhabitant","Gross domestic product at market prices",":",""
"1980","Bulgaria","Euro per inhabitant","Gross domestic product at market prices",":",""
"1981","Bulgaria","Euro per inhabitant","Gross domestic product at market prices",":",""
"1982","Bulgaria","Euro per inhabitant","Gross domestic product at market prices",":",""
"1983","Bulgaria","Euro per inhabitant","Gross domestic product at market prices",":",""
"1984","Bulgaria","Euro per inhabitant","Gross domestic product at market prices",":",""
"1985","Bulgaria","Euro per inhabitant","Gross domestic product at market prices",":",""
"1986","Bulgaria","Euro per inhabitant","Gross domestic product at market prices",":",""
"1987","Bulgaria","Euro per inhabitant","Gross domestic product at market prices",":",""
"1988","Bulgaria","Euro per inhabitant","Gross domestic product at market prices",":",""
"1989","Bulgaria","Euro per inhabitant","Gross domestic product at market prices",":",""
"1990","Bulgaria","Euro per inhabitant","Gross domestic product at market prices","1 200",""
"1991","Bulgaria","Euro per inhabitant","Gross domestic product at market prices","500",""
"1992","Bulgaria","Euro per inhabitant","Gross domestic product at market prices","500",""
"1993","Bulgaria","Euro per inhabitant","Gross domestic product at market prices","1 100",""
"1994","Bulgaria","Euro per inhabitant","Gross domestic product at market prices","1 000",""
"1995","Bulgaria","Euro per inhabitant","Gross domestic product at market prices","1 200",""
"1996","Bulgaria","Euro per inhabitant","Gross domestic product at market prices","800",""
"1997","Bulgaria","Euro per inhabitant","Gross domestic product at market prices","1 100",""
"1998","Bulgaria","Euro per inhabitant","Gross domestic product at market prices","1 400",""
"1999","Bulgaria","Euro per inhabitant","Gross domestic product at market prices","1 500",""
"2000","Bulgaria","Euro per inhabitant","Gross domestic product at market prices","1 700",""
"2001","Bulgaria","Euro per inhabitant","Gross domestic product at market prices","2 000",""
"2002","Bulgaria","Euro per inhabitant","Gross domestic product at market prices","2 200",""
"2003","Bulgaria","Euro per inhabitant","Gross domestic product at market prices","2 400",""
"2004","Bulgaria","Euro per inhabitant","Gross domestic product at market prices","2 600",""
"2005","Bulgaria","Euro per inhabitant","Gross domestic product at market prices","3 000",""
"2006","Bulgaria","Euro per inhabitant","Gross domestic product at market prices","3 400",""
"2007","Bulgaria","Euro per inhabitant","Gross domestic product at market prices","4 000",""
"2008","Bulgaria","Euro per inhabitant","Gross domestic product at market prices","4 600",""
"2009","Bulgaria","Euro per inhabitant","Gross domestic product at market prices","4 600",""
"2010","Bulgaria","Euro per inhabitant","Gross domestic product at market prices","4 800",""
"2011","Bulgaria","Euro per inhabitant","Gross domestic product at market prices","5 200",""
"2012","Bulgaria","Euro per inhabitant","Gross domestic product at market prices","5 400",""
"1975","Czech Republic","Euro per inhabitant","Gross domestic product at market prices",":",""
"1976","Czech Republic","Euro per inhabitant","Gross domestic product at market prices",":",""
"1977","Czech Republic","Euro per inhabitant","Gross domestic product at market prices",":",""
"1978","Czech Republic","Euro per inhabitant","Gross domestic product at market prices",":",""
"1979","Czech Republic","Euro per inhabitant","Gross domestic product at market prices",":",""
"1980","Czech Republic","Euro per inhabitant","Gross domestic product at market prices",":",""
"1981","Czech Republic","Euro per inhabitant","Gross domestic product at market prices",":",""
"1982","Czech Republic","Euro per inhabitant","Gross domestic product at market prices",":",""
"1983","Czech Republic","Euro per inhabitant","Gross domestic product at market prices",":",""
"1984","Czech Republic","Euro per inhabitant","Gross domestic product at market prices",":",""
"1985","Czech Republic","Euro per inhabitant","Gross domestic product at market prices",":",""
"1986","Czech Republic","Euro per inhabitant","Gross domestic product at market prices",":",""
"1987","Czech Republic","Euro per inhabitant","Gross domestic product at market prices",":",""
"1988","Czech Republic","Euro per inhabitant","Gross domestic product at market prices",":",""
"1989","Czech Republic","Euro per inhabitant","Gross domestic product at market prices",":",""
"1990","Czech Republic","Euro per inhabitant","Gross domestic product at market prices",":",""
"1991","Czech Republic","Euro per inhabitant","Gross domestic product at market prices",":",""
"1992","Czech Republic","Euro per inhabitant","Gross domestic product at market prices",":",""
"1993","Czech Republic","Euro per inhabitant","Gross domestic product at market prices","3 200",""
"1994","Czech Republic","Euro per inhabitant","Gross domestic product at market prices","3 700",""
"1995","Czech Republic","Euro per inhabitant","Gross domestic product at market prices","4 300",""
"1996","Czech Republic","Euro per inhabitant","Gross domestic product at market prices","5 000",""
"1997","Czech Republic","Euro per inhabitant","Gross domestic product at market prices","5 100",""
"1998","Czech Republic","Euro per inhabitant","Gross domestic product at market prices","5 600",""
"1999","Czech Republic","Euro per inhabitant","Gross domestic product at market prices","5 700",""
"2000","Czech Republic","Euro per inhabitant","Gross domestic product at market prices","6 200",""
"2001","Czech Republic","Euro per inhabitant","Gross domestic product at market prices","7 000",""
"2002","Czech Republic","Euro per inhabitant","Gross domestic product at market prices","8 200",""
"2003","Czech Republic","Euro per inhabitant","Gross domestic product at market prices","8 300",""
"2004","Czech Republic","Euro per inhabitant","Gross domestic product at market prices","9 000",""
"2005","Czech Republic","Euro per inhabitant","Gross domestic product at market prices","10 200",""
"2006","Czech Republic","Euro per inhabitant","Gross domestic product at market prices","11 500",""
"2007","Czech Republic","Euro per inhabitant","Gross domestic product at market prices","12 800",""
"2008","Czech Republic","Euro per inhabitant","Gross domestic product at market prices","14 800",""
"2009","Czech Republic","Euro per inhabitant","Gross domestic product at market prices","13 600",""
"2010","Czech Republic","Euro per inhabitant","Gross domestic product at market prices","14 300",""
"2011","Czech Republic","Euro per inhabitant","Gross domestic product at market prices","14 800",""
