"2011","Belgium","b"
"2012","Belgium","p"
"2011","Bulgaria","b"
"2011","Czech Republic","bp"
"2012","Czech Republic","p"
"2012","Germany (until 1990 former territory of the FRG)","p"
"2012","Germany (including former GDR)","p"
"2012","Estonia","p"
"2011","Ireland","bp"
"2012","Ireland","p"
"2012","Greece","p"
"2012","Spain","p"
"2009","France","p"
"2010","France","p"
"2011","France","p"
"2012","France","p"
"2010","France (metropolitan)","p"
"2011","France (metropolitan)","p"
"2012","France (metropolitan)","p"
"2012","Italy","p"
"1975","Cyprus","bi"
"1982","Cyprus","i"
"2010","Cyprus","b"
"2011","Latvia","b"
"2012","Latvia","p"
"2011","Lithuania","b"
"2012","Luxembourg","bp"
"2012","Hungary","p"
"2001","Malta","b"
"2011","Malta","bp"
"2012","Malta","p"
"2012","Austria","p"
"2000","Poland","b"
"2011","Poland","b"
"2012","Poland","p"
"2011","Portugal","bp"
"2012","Portugal","p"
"2011","Romania","p"
"2012","Romania","p"
"2008","Slovenia","b"
"2011","Slovakia","b"
"2011","United Kingdom","p"
"2012","United Kingdom","p"
"2012","Liechtenstein","p"
"2011","Switzerland","b"
"2012","Switzerland","p"
"2010","Montenegro","b"
"1981","Croatia","s"
"1982","Croatia","s"
"1983","Croatia","s"
"1984","Croatia","s"
"1985","Croatia","s"
"1986","Croatia","s"
"1987","Croatia","s"
"1988","Croatia","s"
"1989","Croatia","s"
"1990","Croatia","s"
"1991","Croatia","s"
"1992","Croatia","s"
"1993","Croatia","s"
"1994","Croatia","s"
"1995","Croatia","s"
"1996","Croatia","s"
"1997","Croatia","s"
"1998","Croatia","s"
"1999","Croatia","s"
"2000","Croatia","s"
"2001","Croatia","s"
"2012","Croatia","p"
"2012","Serbia","p"
"2007","Turkey","b"
"2000","Bosnia and Herzegovina","s"
"2001","Bosnia and Herzegovina","s"
"2002","Bosnia and Herzegovina","s"
"2003","Bosnia and Herzegovina","s"
"2004","Bosnia and Herzegovina","s"
"2005","Bosnia and Herzegovina","s"
"2011","Bosnia and Herzegovina","p"
"2012","Bosnia and Herzegovina","p"
"2010","Kosovo (under United Nations Security Council Resolution 1244/99)","p"
"2011","Kosovo (under United Nations Security Council Resolution 1244/99)","bp"
"2012","Kosovo (under United Nations Security Council Resolution 1244/99)","p"
"2000","Georgia","e"
"2001","Georgia","e"
"2002","Georgia","e"
"2003","Georgia","e"
"2004","Georgia","e"
"2005","Georgia","e"
