"TIME","GEO","AGE","SEX","Value","Flag and Footnotes"
"1975","Belgium","Total","Total","9 788 248",""
"1976","Belgium","Total","Total","9 813 152",""
"1977","Belgium","Total","Total","9 823 302",""
"1978","Belgium","Total","Total","9 837 413",""
"1979","Belgium","Total","Total","9 841 654",""
"1980","Belgium","Total","Total","9 855 110",""
"1981","Belgium","Total","Total","9 863 374",""
"1982","Belgium","Total","Total","9 854 589",""
"1983","Belgium","Total","Total","9 858 017",""
"1984","Belgium","Total","Total","9 853 023",""
"1985","Belgium","Total","Total","9 857 721",""
"1986","Belgium","Total","Total","9 858 895",""
"1987","Belgium","Total","Total","9 864 751",""
"1988","Belgium","Total","Total","9 875 716",""
"1989","Belgium","Total","Total","9 927 612",""
"1990","Belgium","Total","Total","9 947 782",""
"1991","Belgium","Total","Total","9 986 975",""
"1992","Belgium","Total","Total","10 021 997",""
"1993","Belgium","Total","Total","10 068 319",""
"1994","Belgium","Total","Total","10 100 631",""
"1995","Belgium","Total","Total","10 130 574",""
"1996","Belgium","Total","Total","10 143 047",""
"1997","Belgium","Total","Total","10 170 226",""
"1998","Belgium","Total","Total","10 192 264",""
"1999","Belgium","Total","Total","10 213 752",""
"2000","Belgium","Total","Total","10 239 085",""
"2001","Belgium","Total","Total","10 263 414",""
"2002","Belgium","Total","Total","10 309 725",""
"2003","Belgium","Total","Total","10 355 844",""
"2004","Belgium","Total","Total","10 396 421",""
"2005","Belgium","Total","Total","10 445 852",""
"2006","Belgium","Total","Total","10 511 382",""
"2007","Belgium","Total","Total","10 584 534",""
"2008","Belgium","Total","Total","10 666 866",""
"2009","Belgium","Total","Total","10 753 080",""
"2010","Belgium","Total","Total","10 839 905",""
"2011","Belgium","Total","Total","11 000 638","b"
"2012","Belgium","Total","Total","11 094 850","p"
"1975","Bulgaria","Total","Total","8 710 049",""
"1976","Bulgaria","Total","Total","8 731 434",""
"1977","Bulgaria","Total","Total","8 785 763",""
"1978","Bulgaria","Total","Total","8 822 602",""
"1979","Bulgaria","Total","Total","8 805 462",""
"1980","Bulgaria","Total","Total","8 846 417",""
"1981","Bulgaria","Total","Total","8 876 652",""
"1982","Bulgaria","Total","Total","8 905 581",""
"1983","Bulgaria","Total","Total","8 929 332",""
"1984","Bulgaria","Total","Total","8 950 144",""
"1985","Bulgaria","Total","Total","8 971 214",""
"1986","Bulgaria","Total","Total","8 949 880",""
"1987","Bulgaria","Total","Total","8 966 462",""
"1988","Bulgaria","Total","Total","8 976 255",""
"1989","Bulgaria","Total","Total","8 986 636",""
"1990","Bulgaria","Total","Total","8 767 308",""
"1991","Bulgaria","Total","Total","8 669 269",""
"1992","Bulgaria","Total","Total","8 595 465",""
"1993","Bulgaria","Total","Total","8 484 863",""
"1994","Bulgaria","Total","Total","8 459 763",""
"1995","Bulgaria","Total","Total","8 427 418",""
"1996","Bulgaria","Total","Total","8 384 715",""
"1997","Bulgaria","Total","Total","8 340 936",""
"1998","Bulgaria","Total","Total","8 283 200",""
"1999","Bulgaria","Total","Total","8 230 371",""
"2000","Bulgaria","Total","Total","8 190 876",""
"2001","Bulgaria","Total","Total","8 149 468",""
"2002","Bulgaria","Total","Total","7 891 095",""
"2003","Bulgaria","Total","Total","7 845 841",""
"2004","Bulgaria","Total","Total","7 801 273",""
"2005","Bulgaria","Total","Total","7 761 049",""
"2006","Bulgaria","Total","Total","7 718 750",""
"2007","Bulgaria","Total","Total","7 679 290",""
"2008","Bulgaria","Total","Total","7 640 238",""
"2009","Bulgaria","Total","Total","7 606 551",""
"2010","Bulgaria","Total","Total","7 563 710",""
"2011","Bulgaria","Total","Total","7 369 431","b"
"2012","Bulgaria","Total","Total","7 327 224",""
"1975","Czech Republic","Total","Total","10 023 688",""
"1976","Czech Republic","Total","Total","10 093 551",""
"1977","Czech Republic","Total","Total","10 158 327",""
"1978","Czech Republic","Total","Total","10 215 183",""
"1979","Czech Republic","Total","Total","10 269 012",""
"1980","Czech Republic","Total","Total","10 315 669",""
"1981","Czech Republic","Total","Total","10 292 717",""
"1982","Czech Republic","Total","Total","10 308 465",""
"1983","Czech Republic","Total","Total","10 321 186",""
"1984","Czech Republic","Total","Total","10 326 526",""
"1985","Czech Republic","Total","Total","10 333 900",""
"1986","Czech Republic","Total","Total","10 340 335",""
"1987","Czech Republic","Total","Total","10 344 119",""
"1988","Czech Republic","Total","Total","10 350 517",""
"1989","Czech Republic","Total","Total","10 360 034",""
"1990","Czech Republic","Total","Total","10 362 102",""
"1991","Czech Republic","Total","Total","10 304 607",""
"1992","Czech Republic","Total","Total","10 312 548",""
"1993","Czech Republic","Total","Total","10 325 697",""
"1994","Czech Republic","Total","Total","10 334 013",""
"1995","Czech Republic","Total","Total","10 333 161",""
"1996","Czech Republic","Total","Total","10 321 344",""
"1997","Czech Republic","Total","Total","10 309 137",""
"1998","Czech Republic","Total","Total","10 299 125",""
"1999","Czech Republic","Total","Total","10 289 621",""
"2000","Czech Republic","Total","Total","10 278 098",""
"2001","Czech Republic","Total","Total","10 266 546",""
"2002","Czech Republic","Total","Total","10 206 436",""
"2003","Czech Republic","Total","Total","10 203 269",""
"2004","Czech Republic","Total","Total","10 211 455",""
"2005","Czech Republic","Total","Total","10 220 577",""
"2006","Czech Republic","Total","Total","10 251 079",""
"2007","Czech Republic","Total","Total","10 287 189",""
"2008","Czech Republic","Total","Total","10 381 130",""
"2009","Czech Republic","Total","Total","10 467 542",""
"2010","Czech Republic","Total","Total","10 506 813",""
"2011","Czech Republic","Total","Total","10 486 731","bp"
"2012","Czech Republic","Total","Total","10 505 445","p"
"1975","Denmark","Total","Total","5 054 410",""
"1976","Denmark","Total","Total","5 065 313",""
"1977","Denmark","Total","Total","5 079 879",""
"1978","Denmark","Total","Total","5 096 959",""
"1979","Denmark","Total","Total","5 111 537",""
"1980","Denmark","Total","Total","5 122 065",""
"1981","Denmark","Total","Total","5 123 989",""
"1982","Denmark","Total","Total","5 119 155",""
"1983","Denmark","Total","Total","5 116 464",""
"1984","Denmark","Total","Total","5 112 130",""
"1985","Denmark","Total","Total","5 111 108",""
"1986","Denmark","Total","Total","5 116 273",""
"1987","Denmark","Total","Total","5 124 794",""
"1988","Denmark","Total","Total","5 129 254",""
"1989","Denmark","Total","Total","5 129 778",""
"1990","Denmark","Total","Total","5 135 409",""
"1991","Denmark","Total","Total","5 146 469",""
"1992","Denmark","Total","Total","5 162 126",""
"1993","Denmark","Total","Total","5 180 614",""
"1994","Denmark","Total","Total","5 196 642",""
"1995","Denmark","Total","Total","5 215 718",""
"1996","Denmark","Total","Total","5 251 027",""
"1997","Denmark","Total","Total","5 275 121",""
"1998","Denmark","Total","Total","5 294 860",""
"1999","Denmark","Total","Total","5 313 577",""
"2000","Denmark","Total","Total","5 330 020",""
"2001","Denmark","Total","Total","5 349 212",""
"2002","Denmark","Total","Total","5 368 354",""
"2003","Denmark","Total","Total","5 383 507",""
"2004","Denmark","Total","Total","5 397 640",""
"2005","Denmark","Total","Total","5 411 405",""
"2006","Denmark","Total","Total","5 427 459",""
"2007","Denmark","Total","Total","5 447 084",""
"2008","Denmark","Total","Total","5 475 791",""
"2009","Denmark","Total","Total","5 511 451",""
"2010","Denmark","Total","Total","5 534 738",""
"2011","Denmark","Total","Total","5 560 628",""
"2012","Denmark","Total","Total","5 580 516",""
"1975","Germany (until 1990 former territory of the FRG)","Total","Total","61 991 475",""
"1976","Germany (until 1990 former territory of the FRG)","Total","Total","61 644 624",""
"1977","Germany (until 1990 former territory of the FRG)","Total","Total","61 441 996",""
"1978","Germany (until 1990 former territory of the FRG)","Total","Total","61 352 745",""
"1979","Germany (until 1990 former territory of the FRG)","Total","Total","61 321 663",""
"1980","Germany (until 1990 former territory of the FRG)","Total","Total","61 439 338",""
"1981","Germany (until 1990 former territory of the FRG)","Total","Total","61 657 952",""
