"TIME","GEO","S_ADJ","AGE","SEX","Value","Flag and Footnotes"
"1983","Belgium","Not seasonally adjusted data","Total","Total","10.7",""
"1984","Belgium","Not seasonally adjusted data","Total","Total","10.8",""
"1985","Belgium","Not seasonally adjusted data","Total","Total","10.1",""
"1986","Belgium","Not seasonally adjusted data","Total","Total","10.0",""
"1987","Belgium","Not seasonally adjusted data","Total","Total","9.8",""
"1988","Belgium","Not seasonally adjusted data","Total","Total","8.8",""
"1989","Belgium","Not seasonally adjusted data","Total","Total","7.4",""
"1990","Belgium","Not seasonally adjusted data","Total","Total","6.6",""
"1991","Belgium","Not seasonally adjusted data","Total","Total","6.4",""
"1992","Belgium","Not seasonally adjusted data","Total","Total","7.1",""
"1993","Belgium","Not seasonally adjusted data","Total","Total","8.6",""
"1994","Belgium","Not seasonally adjusted data","Total","Total","9.8",""
"1995","Belgium","Not seasonally adjusted data","Total","Total","9.7",""
"1996","Belgium","Not seasonally adjusted data","Total","Total","9.5",""
"1997","Belgium","Not seasonally adjusted data","Total","Total","9.2",""
"1998","Belgium","Not seasonally adjusted data","Total","Total","9.3",""
"1999","Belgium","Not seasonally adjusted data","Total","Total","8.5",""
"2000","Belgium","Not seasonally adjusted data","Total","Total","6.9",""
"2001","Belgium","Not seasonally adjusted data","Total","Total","6.6",""
"2002","Belgium","Not seasonally adjusted data","Total","Total","7.5",""
"2003","Belgium","Not seasonally adjusted data","Total","Total","8.2",""
"2004","Belgium","Not seasonally adjusted data","Total","Total","8.4",""
"2005","Belgium","Not seasonally adjusted data","Total","Total","8.5",""
"2006","Belgium","Not seasonally adjusted data","Total","Total","8.3",""
"2007","Belgium","Not seasonally adjusted data","Total","Total","7.5",""
"2008","Belgium","Not seasonally adjusted data","Total","Total","7.0",""
"2009","Belgium","Not seasonally adjusted data","Total","Total","7.9",""
"2010","Belgium","Not seasonally adjusted data","Total","Total","8.3",""
"2011","Belgium","Not seasonally adjusted data","Total","Total","7.2",""
"2012","Belgium","Not seasonally adjusted data","Total","Total","7.6",""
"1983","Bulgaria","Not seasonally adjusted data","Total","Total",":",""
"1984","Bulgaria","Not seasonally adjusted data","Total","Total",":",""
"1985","Bulgaria","Not seasonally adjusted data","Total","Total",":",""
"1986","Bulgaria","Not seasonally adjusted data","Total","Total",":",""
"1987","Bulgaria","Not seasonally adjusted data","Total","Total",":",""
"1988","Bulgaria","Not seasonally adjusted data","Total","Total",":",""
"1989","Bulgaria","Not seasonally adjusted data","Total","Total",":",""
"1990","Bulgaria","Not seasonally adjusted data","Total","Total",":",""
"1991","Bulgaria","Not seasonally adjusted data","Total","Total",":",""
"1992","Bulgaria","Not seasonally adjusted data","Total","Total",":",""
"1993","Bulgaria","Not seasonally adjusted data","Total","Total",":",""
"1994","Bulgaria","Not seasonally adjusted data","Total","Total",":",""
"1995","Bulgaria","Not seasonally adjusted data","Total","Total",":",""
"1996","Bulgaria","Not seasonally adjusted data","Total","Total",":",""
"1997","Bulgaria","Not seasonally adjusted data","Total","Total",":",""
"1998","Bulgaria","Not seasonally adjusted data","Total","Total",":",""
"1999","Bulgaria","Not seasonally adjusted data","Total","Total",":",""
