@RELATION datafile
@ATTRIBUTE year DATE "y" 
@ATTRIBUTE country STRING
@ATTRIBUTE balanceOfPayments NUMERIC
@ATTRIBUTE unemploymentRate NUMERIC
@ATTRIBUTE gdpPerInhabitant NUMERIC
@ATTRIBUTE population NUMERIC
@DATA
1983,"Belgium",10.7,?,9600,9858017
1984,"Belgium",10.8,?,10300,9853023
1985,"Belgium",10.1,?,11100,9857721
1986,"Belgium",10.0,?,11900,9858895
1987,"Belgium",9.8,?,12600,9864751
1988,"Belgium",8.8,?,13300,9875716
1989,"Belgium",7.4,?,14400,9927612
1990,"Belgium",6.6,?,15600,9947782
1991,"Belgium",6.4,?,16300,9986975
1992,"Belgium",7.1,?,17300,10021997
1993,"Belgium",8.6,?,18300,10068319
1994,"Belgium",9.8,?,19600,10100631
1995,"Belgium",9.7,8,21500,10130574
1996,"Belgium",9.5,5,21400,10143047
1997,"Belgium",9.2,4,21700,10170226
1998,"Belgium",9.3,5,22400,10192264
1999,"Belgium",8.5,6,23400,10213752
2000,"Belgium",6.9,7,24600,10239085
2001,"Belgium",6.6,6,25300,10263414
2002,"Belgium",7.5,5,26000,10309725
2003,"Belgium",8.2,5,26600,10355844
2004,"Belgium",8.4,3,28000,10396421
2005,"Belgium",8.5,4,29000,10445852
2006,"Belgium",8.3,4,30200,10511382
2007,"Belgium",7.5,3,31600,10584534
2008,"Belgium",7.0,3,32299,10666866
2009,"Belgium",7.9,2,31600,10753080
2010,"Belgium",8.3,2,32700,10839905
2011,"Belgium",7.2,2,33700,11000638
2012,"Belgium",7.6,-5204,34000,11094850
1983,"Bulgaria",?,?,?,8929332
1984,"Bulgaria",?,?,?,8950144
1985,"Bulgaria",?,?,?,8971214
1986,"Bulgaria",?,?,?,8949880
1987,"Bulgaria",?,?,?,8966462
1988,"Bulgaria",?,?,?,8976255
1989,"Bulgaria",?,?,?,8986636
1990,"Bulgaria",?,?,1200,8767308
1991,"Bulgaria",?,9,500,8669269
1992,"Bulgaria",?,8,500,8595465
1993,"Bulgaria",?,5,1100,8484863
1994,"Bulgaria",?,6,1000,8459763
1995,"Bulgaria",?,5,1200,8427418
1996,"Bulgaria",?,2,800,8384715
1997,"Bulgaria",?,2,1100,8340936
1998,"Bulgaria",?,2,1400,8283200
1999,"Bulgaria",?,4,1500,8230371
2000,"Bulgaria",16.4,5,1700,8190876
2001,"Bulgaria",19.5,5,2000,8149468
2002,"Bulgaria",18.2,4,2200,7891095
2003,"Bulgaria",13.7,3,2400,7845841
2004,"Bulgaria",12.1,2,2600,7801273
2005,"Bulgaria",10.1,3,3000,7761049
2006,"Bulgaria",9.0,3,3400,7718750
2007,"Bulgaria",6.9,3,4000,7679290
2008,"Bulgaria",5.6,3,4600,7640238
2009,"Bulgaria",6.8,2,4600,7606551
2010,"Bulgaria",10.3,2,4800,7563710
2011,"Bulgaria",11.3,2,5200,7369431
2012,"Bulgaria",12.3,-527,5400,7327224
1983,"CzechRepublic",?,?,?,10321186
